 , , , , , , ,Rush,Rush, ,Rec,Rec,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,Car,Yds,TDs,Recp,Yds,TDs,FP,FP,VBD,VBD,VAL
 49. ,"Scott, Bernard",CIN,RB,7,16,102,457,2.5,20.9,144,0.4,5.5,88.2,-2.1,-34,-8.2
 50. ,"Carter, Delone",IND,RB,11,16,106,424,5.1,12.6,87,0,5.5,87.7,-2.1,-34.4,-8.3
 51. ,"Forsett, Justin",SEA,RB,6,16,91,374,2.5,22.8,178,0.9,5.4,87,-2.2,-35.2,-8.5
 52. ,"Stephens-Howling, LaRod",ARI,RB,6,16,70,301,1.8,32.5,248,0.7,5.4,86.2,-2.2,-35.9,-8.6
 53. ,"Harrison, Jerome",PHI,RB,7,16,87,377,2.9,19.7,148,0.4,5.1,82.2,-2.5,-39.9,-9.6
 54. ,"Murray, DeMarco",DAL,RB,5,16,87,368,3.1,17.9,125,0.6,5,80.4,-2.6,-41.8,-10
 55. ,"Karim, Deji",JAX,RB,9,16,85,398,2.7,17.6,130,0.3,5,79.8,-2.6,-42.3,-10.2
 56. ,"Ridley, Stevan",NE,RB,7,16,87,356,3.7,10.5,81,0.5,4.7,74.4,-3,-47.7,-11.5
 57. ,"Brown, Ronnie",DET,RB,9,16,78,327,3,15.9,117,0.4,4.5,72.7,-3.1,-49.4,-11.9
 58. ,"Hardesty, Montario",CLE,RB,5,16,102,410,2.9,11.9,83,0,4.5,72.6,-3.1,-49.6,-11.9
 59. ,"Hunter, Kendall",SF,RB,7,16,76,337,2.4,17.6,138,0.3,4.5,72.2,-3.1,-49.9,-12
 60. ,"Helu, Roy",WAS,RB,5,16,99,403,2.7,11,87,0,4.4,70.9,-3.2,-51.3,-12.3
 61. ,"Choice, Tashard",BUF,RB,7,16,80,320,2.5,16.1,113,0.1,4.2,67,-3.4,-55.1,-13.3
 62. ,"Scott, Da'Rel",NYG,RB,7,16,73,325,2.5,12.5,98,0.5,4.2,66.5,-3.5,-55.7,-13.4
 63. ,"Graham, Earnest",TB,RB,8,16,56,231,1.8,22.5,165,0.7,4.1,65.9,-3.5,-56.2,-13.5
 64. ,"Ward, Derrick",HOU,RB,11,16,68,313,2.5,13.7,104,0.2,4,64.7,-3.6,-57.4,-13.8
 65. ,"Williams, Cadillac",STL,RB,5,16,68,257,1.5,21.7,154,0.4,4,63.6,-3.7,-58.5,-14.1
 66. ,"Rodgers, Jacquizz",ATL,RB,8,16,47,210,0.7,25,186,0.9,3.9,62,-3.8,-60.1,-14.5
 67. ,"Torain, Ryan",WAS,RB,5,16,74,321,2.4,11.4,81,0.1,3.8,60.9,-3.8,-61.2,-14.7
 68. ,"Washington, Leon",SEA,RB,6,16,56,239,1.3,20.1,166,0.4,3.8,60.8,-3.8,-61.3,-14.7
 69. ,"McCluster, Dexter",KC,RB,6,16,45,192,1,20.8,187,0.9,3.7,59.9,-3.9,-62.2,-15
 70. ,"Gerhart, Toby",MIN,RB,9,16,75,305,1.8,14.8,108,0,3.7,59.5,-3.9,-62.7,-15.1
 71. ,"Tate, Ben",HOU,RB,11,16,76,321,2.6,9.3,67,0,3.7,59,-3.9,-63.1,-15.2
 72. ,"Redman, Isaac",PIT,RB,11,16,70,299,1.9,13.2,90,0.2,3.7,58.5,-4,-63.6,-15.3
 73. ,"Goodson, Mike",CAR,RB,9,16,29,127,0.7,23.9,180,0.7,3.2,51.3,-4.4,-70.9,-17.1
 74. ,"Ringer, Javon",TEN,RB,6,16,66,298,1.9,7.5,51,0,3.1,50.3,-4.5,-71.9,-17.3
 75. ,"McKnight, Joe",NYJ,RB,8,16,51,228,1.2,11.4,86,0.3,2.9,46.2,-4.7,-75.9,-18.3
 76. ,"Morris, Maurice",DET,RB,9,16,54,218,1.7,11.3,81,0,2.9,46,-4.8,-76.1,-18.3
 77. ,"Reece, Marcel",OAK,RB,8,16,25,94,0.6,20.3,159,0.8,2.7,43.8,-4.9,-78.3,-18.8
 78. ,"Jones, Taiwan",OAK,RB,8,16,48,220,1,9.8,85,0.2,2.7,42.6,-5,-79.6,-19.1
