 , , , , , , , ,Pass,Pass,Pass, ,Rush,Rush, ,Rec,Rec,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,Att,Cmp,Yds,TDs,Int,Car,Yds,TDs,Recp,Yds,TDs,FP,FP,VBD,VBD,VAL
 40. ,"Young, Vince",PHI,QB,7,16,67,40,460,3.3,1.6,12,64,0.5,0,0,0,2.5,39.4,-11.7,-187.3,-45.1
 41. ,"Tebow, Tim",DEN,QB,6,16,51,28,340,1.9,1.9,20,94,1.7,0,0,0,2.4,38.5,-11.8,-188.3,-45.3
 42. ,"Hill, Shaun",DET,QB,9,16,75,45,465,3.8,2.8,9,26,0,0,0,0,2.1,33.6,-12.1,-193.2,-46.5
 43. ,"Thigpen, Tyler",BUF,QB,7,16,73,42,465,2.5,2.5,9,39,0.5,0,0,0,2.1,33,-12.1,-193.8,-46.6
 44. ,"Ponder, Christian",MIN,QB,9,16,69,40,471,2.6,2.6,9,30,0.2,0,0,0,1.9,30.6,-12.3,-196.1,-47.2
 45. ,"Clausen, Jimmy",CAR,QB,9,16,66,37,398,2.2,2.5,5,14,0,0,0,0,1.5,23.4,-12.7,-203.3,-48.9
 46. ,"Collins, Kerry",IND,QB,11,16,51,31,358,2.3,2.3,3,4,0.3,0,0,0,1.4,23,-12.7,-203.8,-49
 47. ,"Boller, Kyle",OAK,QB,8,16,49,28,305,1.5,1.5,4,10,0,0,0,0,1.1,17.6,-13.1,-209.1,-50.3
 48. ,"Quinn, Brady",DEN,QB,6,16,37,22,245,1.3,1.3,5,15,0,0,0,0,1,15.3,-13.2,-211.4,-50.9
 49. ,"Palko, Tyler",KC,QB,6,16,44,25,282,1,1,4,10,0,0,0,0,1,15.3,-13.2,-211.5,-50.9
 50. ,"Wallace, Seneca",CLE,QB,5,16,39,22,249,1.3,1.3,6,14,0,0,0,0,0.9,15.1,-13.2,-211.6,-50.9
 51. ,"Skelton, John",ARI,QB,6,16,40,24,260,1,1.5,4,12,0,0,0,0,0.9,14.1,-13.3,-212.7,-51.2
 52. ,"Brunell, Mark",NYJ,QB,8,16,34,20,223,1,0.5,3,10,0,0,0,0,0.8,13.4,-13.3,-213.4,-51.3
 53. ,"Kitna, Jon",DAL,QB,5,16,29,18,207,1.2,0.6,3,7,0,0,0,0,0.8,13.2,-13.3,-213.6,-51.4
 54. ,"Flynn, Matt",GB,QB,8,16,27,17,198,1.4,1,1,3,0,0,0,0,0.8,12.8,-13.4,-213.9,-51.5
 55. ,"Hanie, Caleb",CHI,QB,8,16,32,18,201,1,0.8,2,5,0,0,0,0,0.7,11.8,-13.4,-214.9,-51.7
 56. ,"Leinart, Matt",HOU,QB,11,16,25,15,171,0.5,0.5,3,5,0,0,0,0,0.6,8.8,-13.6,-217.9,-52.4
 57. ,"Redman, Chris",ATL,QB,8,16,25,14,161,0.7,0.7,2,3,0,0,0,0,0.5,8.7,-13.6,-218,-52.4
 58. ,"Batch, Charlie",PIT,QB,11,16,23,13,149,0.5,0.5,1,1,0,0,0,0,0.5,7.6,-13.7,-219.2,-52.7
 59. ,"Hoyer, Brian",NE,QB,7,16,14,9,102,0.8,0.5,3,4,0,0,0,0,0.4,7,-13.7,-219.8,-52.9
 60. ,"Johnson, Josh",TB,QB,8,16,14,8,94,0.3,0,3,15,0,0,0,0,0.4,6.6,-13.8,-220.2,-53
 61. ,"Daniel, Chase",NO,QB,11,16,20,13,137,0,0,2,4,0,0,0,0,0.4,5.8,-13.8,-220.9,-53.2
 62. ,"Taylor, Tyrod",BAL,QB,5,16,15,9,102,0.3,0.5,4,9,0,0,0,0,0.3,5.5,-13.8,-221.3,-53.2
 63. ,"Feeley, A.J.",STL,QB,5,16,15,8,95,0,0,3,6,0,0,0,0,0.3,4.3,-13.9,-222.4,-53.5
 64. ,"Carr, David",NYG,QB,7,16,13,7,99,0,0,1,1,0,0,0,0,0.3,4.1,-13.9,-222.7,-53.6
 65. ,"Volek, Billy",SD,QB,6,16,8,4,54,0,0,3,1,0,0,0,0,0.1,2.3,-14,-224.5,-54
